PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,Activity Direction,Activity Qualifier,Qualified AC50,Log of AC50,Data Analysis QC,Log AC50 Std Error
2760,860106,611765,COC(=O)C(C1=CNC2=CC=CC=C21)(C(F)(F)F)O,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2761,860107,661409,CCSC1=NN=C(S1)N(CCC(=O)O)CCC(=O)O,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2762,860109,135513615,COC1=CC=CC(=C1)NC(=O)CC2C(=O)NC(=NC3=CC=CC=C3)S2,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2763,860110,6603013,CC1=CC(=CC=C1)N(CC(CN(C)C)O)S(=O)(=O)C2=CC=CC=C2.Cl,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2764,860111,6603015,CN(C)CC(COC1=CC(=CC=C1)OCC(CN(C)C)O)O.Cl,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2765,860112,6603011,CC1=CC=C(C=C1)S(=O)(=O)N(CC(CN(C)C)O)C2=CC=CC=C2.Cl,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2766,860113,6603498,CC1=CC=C(C=C1)N(CC(CN2CCCC2)O)S(=O)(=O)C3=CC=C(C=C3)C.Cl,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2767,860114,6603014,CC(C)(C1=CC=C(C=C1)OCC(CN(C)C)O)C2=CC=C(C=C2)OCC(CN(C)C)O.Cl,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2768,860116,2907974,C1COCCN1CCOC(=O)C2=CC3=C(C=C2)OCCO3.Cl,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2769,860117,6602789,CC1=CC=C(C=C1)OCC(=O)OC2CN3CCC2CC3.Cl,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2770,860118,2928240,CN(C)CCOC(=O)CC1=CC=C(C=C1)Cl.Cl,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2771,860120,661430,CC1=CC(=NC(=C1C#N)OCC(=O)C2=CC=CC=C2)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2772,860121,661431,C1CC2=C(C(=O)C1)[C@@]3(C4=CC=CC=C4N(C3=O)CC(=O)N)C(=C(O2)N)C#N,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2773,860122,661432,C1CN2C(=O)C(SC2=N1)CC(=O)NC3=CC=CC=C3,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2774,860123,5389316,CCN1CCN(CC1)C2=C(C(=O)N3C=CC=C(C3=N2)C)/C=C(\C#N)/S(=O)(=O)C4=CC=C(C=C4)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2775,860124,661434,CC1=CC=C(O1)C2=CC=CC=C2NC(=O)C3C4CC(C3C(=O)O)C=C4,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2776,860125,661435,CC(C)CC1=NC(=C(C2=C1CCC2)C#N)N3CCN(CC3)C(=O)C4=CC=CO4,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2777,860128,135468292,C1=CC=C(C=C1)C2=CC3=C(S2)C(=O)NC=N3,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2778,860129,661438,CC1(C(SC(=S)N1C)N(C(=O)NC2=CC=CC=C2)O)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2779,860130,661439,CCOC(=O)C1=C(NC(=C(C1C2=CC=CO2)C#N)SCC(=O)NC3=CC=CC=C3C)C4=CC=CC=C4,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2780,860131,661440,C1=CC=C(C=C1)CCOC(=O)C(CC(=O)O)NCC2=CC=CO2,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2781,860132,661441,CC(C(=O)O)SC1=NC2=CC=CC=C2C=C1,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2782,860133,661442,C1=CC=C2C(=C1)N=NN2CC(COC3=CC=C(C=C3)C4=CC=C(C=C4)C#N)O,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2783,860135,661444,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)N3CCN(CC3)C4=NC5=CC=CC=C5S4,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2784,860136,661445,CC(C)CCN1C2=C(N=C1SCC(=O)OC)N(C(=O)N(C2=O)C)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2785,860137,661446,CC1=NN=C2N1C3=CC=CC=C3N=C2OC4=CC=C(C=C4)C(=O)OC,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2786,860139,661448,CC(=O)NC1=CC=C(C=C1)OC(=O)CC2C(=O)NC(=O)S2,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2787,860140,661449,CN1C2=C(C(=O)NC1=O)N(C(=N2)Br)CCSC3=NC=CC=N3,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2788,860141,661450,CCOC(=O)C1CCN(CC1)C2=NC3=CC=CC=C3N=C2C(C#N)C(=O)OC(C)COC,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2789,860142,661451,CC(=O)OC1C(=O)NC2=CC=CC=C2C(=N1)C3=CC=CC=C3,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2790,860143,661452,C1CC2=C(C(C(=C(N2)SCC(=O)C3=CC=C(C=C3)Cl)C#N)C4=CC=CO4)C(=O)C1,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2791,860144,661453,CC1=C(C(C(=C(N1)SCC(=O)NC(C)(C)C)C#N)C2=CC=CO2)C(=O)OCCOC,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2792,860145,661454,C1=CC=C2C(=C1)C(OC2=O)NC3=C(C=C(C=C3)Br)F,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2793,860146,661455,C1=CC=C(C(=C1)CNN2C=NN=C2)O,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2794,860147,661456,CC1=CC2=C(C(C(=C(O2)N)C#N)C3=CC=CC=C3)C(=O)N1CC4=CN=CC=C4,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2795,860149,661458,CCSC1=NN=C(S1)N(CCC#N)CCC#N,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2796,860150,661459,C1=CC=C2C(=C1)C(OC2=O)NC3=NC=C(C=C3)Br,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2797,860151,661460,C1CC(OC1)COC(=O)C(CC(=O)O)NCC2=CC=CO2,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2798,860152,661461,CCC1=CC=CC=C1NC(=O)CSC2=C(C(C3=C(N2)CCCC3=O)C4=CC(=C(C=C4)O)OC)C#N,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2799,860153,661462,CC(=O)/C(=C/1\NC(=O)C(S1)CC2=CC=CC=C2)/C#N,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2800,860154,5389317,CN(C)CCCN1C(/C(=C(\C2=CC(=C(C=C2)OC)OC)/O)/C(=O)C1=O)C3=CC(=CC=C3)Cl,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2801,860158,661467,C1CCN(CC1)C2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4F,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2802,860159,661468,CC1CC(CN(C1)C2=NC(=NC3=CC=CC=C32)C4=C(C(=CC=C4)OC)O)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2803,860160,661469,CCC(=O)NC1=CC=CC(=C1)C2=NN=C(N2C)SCC(=O)NCC3=CC=CO3,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2804,860161,661470,C1CC2=C(C(C(=C(N2)SCC3=CC=CC=C3)C#N)C4=CC5=C(C=C4)OCO5)C(=O)C1,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2805,860162,661471,COC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)C45CC5)OC,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2806,860163,9568659,C/C(=N\O)/C1=CC2=C(C=C1)NC=C2,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2807,860166,661475,C1=CC=C(C=C1)CSC2=NN=C(S2)N(CCC(=O)O)CCC(=O)O,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2808,860167,661476,COC1=CC=CC(=C1)N2CCN(CC2)C3CC(=O)N(C3=O)C4=CC(=CC=C4)Cl,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2809,860168,661477,CC1=C(C(C(=C(O1)N)C#N)C2=CC=CO2)C(=O)OCCOC,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2810,860171,661480,CC1=C(C(=CC=C1)C)OCC(CNS(=O)(=O)C2=CC=CC=C2C(=O)N3CCCCC3)O,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2811,860172,661481,CC1=CC2=C(C=C1)NC3=C2N=CN=C3NCCN4CCOCC4,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2812,860173,295450,C1=CC=C2C(=C1)C(=O)N(S2(=O)=O)CC(COC3=CC=C(C=C3)Cl)O,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2813,860174,661482,COC1=CC=CC(=C1O)C2=NC3=CC=CC=C3C(=N2)NCC4CCCO4,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2814,860175,661483,COC1=CC(=C(C=C1)OC)NC(=O)CSC2=C(C(C3=C(N2)CCCC3=O)C4=CC=CO4)C#N,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2815,860176,661484,CN1C(=O)C2=CC=CC=C2C(=N1)C3=CC(=C(C=C3)OC)NS(=O)(=O)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2816,860178,661486,CC1=C(C(=CC=C1)N)SC2CCCCC2O,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2817,860180,661487,CC1=C(C2=C(C=C1)C(=O)C(=C(N2)C)CN(C)C3CCN(CC3)C)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2818,860181,661488,CC1=CC(=NN1CC2CC(=O)N(C2=O)C3=CC(=C(C=C3)Cl)Cl)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2819,860184,661491,CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)N3CCC(CC3)C(=O)N)CCSC4=NC5=CC=CC=C5S4,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2820,860185,661492,CC1=NC2=C(C3=NC4=CC=CC=C4N=C3N2CCCOC)C(=O)N1C5=CC=CC=C5OC,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2821,860186,661493,CCN=C1N(C(=O)CC(S1)C(=O)NC2=CC(=C(C=C2)Cl)Cl)CC,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2822,860187,661494,C1CC2=C(C(C(=C(N2)SCC(=O)C3=CC=C(C=C3)Br)C#N)C4=CC=CO4)C(=O)C1,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2823,860190,661497,CC1CCN(CC1)C2=NC(=NC3=CC=CC=C32)C4=C(C(=CC=C4)OC)O,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2824,860192,3781852,CCN(CC)CCN=CC1=C(N(C(=O)NC1=O)CCC2=CC=CC=C2)O,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2825,860194,5389324,CN(C)CCN1C(/C(=C(/C2=CC=C(C=C2)OCC=C)\O)/C(=O)C1=O)C3=CC=CS3,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2826,860195,661501,CC1(CC2=C(C(=O)C1)[C@@]3(C4=CC=CC=C4N(C3=O)CC(=O)N)C(=C(O2)N)C#N)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2827,860197,661503,COC1=CC=C(C=C1)CCNC2=C(N=C(O2)COC3=CC=CC=C3)C#N,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2828,860199,661505,CNC(=O)C1CC(=O)N(C(=NC2=CC=C(C=C2)OC)S1)CC3=CC=CC=C3,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2829,860200,661506,CC1=CC(=NN1CC2CC(=O)N(C2=O)C3=CC(=C(C=C3)F)Cl)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2830,860201,661507,CC(C)C(CC(=O)N1CCOCC1)C2=CC=C(C=C2)OC,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2831,860203,661509,CSC1=NN=C(S1)N(CCC#N)CCC#N,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2832,860204,661510,CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CN2C3=CC=CC=C3N=N2,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2833,860206,661512,CCC(=O)NC1=CC=C(C=C1)C2=NN=C(N2C)SCC(=O)NCC3CCCO3,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2834,860207,661513,CCN1C(=NN=C1SCC(=O)NC2=CC=CC=C2C(=O)OC)C3=CC=C(C=C3)N,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2835,860209,661515,CC1=NC(=C(C=C1)C#N)SCC2=CC3=C(C=C2Cl)OCO3,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2836,860212,9614329,C/C(=N\O)/C(=O)NCCCN1C=CN=C1,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2837,860213,661518,CCC1=CC2=C(C=C1OC(=O)N3CCOCC3)OC=C(C2=O)C4=NC5=CC=CC=C5N4,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2838,860214,661519,CC(C)CC1=NC(=C(C2=C1CCC2)C#N)N3CCN(CC3)C(=O)C(C)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2839,860215,661520,CC(C)CCN1C2=C(N=C1SC(C)C(=O)OC)N(C(=O)N(C2=O)C)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2840,860217,661522,CCOC(=O)C1=C(C2=C(N1)C=CC(=C2)OC)NC(=O)CCN3CCN(CC3)CC4=CC=CC=C4,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2841,860218,661523,CCOC1=C(C=C2C(=C1)N=C(N=C2N3CCOCC3)C4=CC(=C(C=C4)OC)OC)OC,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2842,860219,661524,CC(C)CC1=C2CCCC2=C(C(=O)N1)C#N,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2843,860220,661525,CC1=CC(=NC(=N1)NC(=O)C2=CC=C(C=C2)OC(C)C)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2844,860221,5389325,CCCOC1=CC=C(C=C1)/C(=C/2\C(N(C(=O)C2=O)CCCN3CCOCC3)C4=CC=NC=C4)/O,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2845,860222,661527,COC1=CC=CC(=C1O)C2=NC3=CC=CC=C3C(=N2)N4CCCCC4,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2846,860224,661529,CC1=CC=C(C=C1)NC(=O)CSC2=NC(=C(C(=C2C#N)C3=CC=CO3)C(=O)OCCOC)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2847,860225,661530,C1=CC=C(C=C1)C2=NN=C(S2)N(CCC#N)CCC#N,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2848,860227,661532,CCOC(=O)C1=C(C2=CC3=C(C=C2N1)OCO3)NC(=O)CN4CCC5(CC4)OCCO5,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2849,860228,661533,C1COCCN1C(=O)C2CC2(C3=CC=CC=C3)C4=CC=CC=C4,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2850,860229,661534,CC1=NN=C2N1C3=CC=CC=C3N=C2NC(C)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2851,860230,661535,C1=CC=C(C=C1)CN2C(=C(C3=C2N=CN(C3=N)CCCN4C=CN=C4)C5=CC=CC=C5)C6=CC=CC=C6,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2852,860231,661536,COC1=CC=C(C=C1)C2=CC(N3C(=NN=N3)N2)C4=CC(=CC=C4)OC,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2853,860232,661537,COCCNC(=O)C1=C(N(C2=NC3=CC=CC=C3N=C12)CCC4=CCCCC4)N,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2854,860233,661538,C1CCN(C1)C2=C(N=C(O2)COC3=CC=CC=C3)C#N,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2855,860234,5293426,C1=CC=C(C=C1)NC(=O)CSC2=NC(=C(N=N2)C3=CC=CO3)C4=CC=CO4,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2856,860236,661540,CCCCOCCCN1C(=C(C2=NC3=CC=CC=C3N=C21)C(=O)OC(C)COC)N,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2857,860238,661542,CC1=C([N+](=O)C2=C(N1[O-])CCCC2)C3=CC=CS3,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2858,860240,661543,COC1=CC=CC(=C1O)C2=NC3=CC=CC=C3C(=N2)N4CCN(CC4)CC5=CC=CC=C5,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2859,860242,6400935,CC1=CC=C(C=C1)NC(=O)CSC2=NC(=C(N=N2)C3=CC=CO3)C4=CC=CO4,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2860,860243,661545,CC1=CC=C(C=C1)N2N=C3C=C(C(=CC3=N2)Cl)NC(=O)C4=CC=CO4,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2861,860247,661549,CCOC(=O)C1CCN(CC1)CCC(=O)NC2=C(NC3=C2C=C(C=C3)Br)C(=O)OCC,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2862,860250,661552,CC1=CN2C(=NN=C2S1)C3=CC=NC=C3,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2863,860252,661553,COC1=CC=C(C=C1)N2C3=NC=NC(=C3C=N2)NCCCN4C=CN=C4,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2864,860253,661554,CCOC(=O)CSC1=C(C(C2=C(N1)CC(CC2=O)(C)C)C3=CC=C(C=C3)OC)C#N,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2865,860255,1840517,C1CN(CCC1C(=O)N)C2=C(C(=O)N3C=CC=CC3=N2)/C=C(\C#N)/S(=O)(=O)C4=CC=CC=C4,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2866,860256,2939606,CN1CCC(CC1)OC(=O)C2C3=CC=CC=C3OC4=CC=CC=C24.Cl,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2867,860258,2907946,CN(CCOC(=O)C1=CC2=C(C=C1)OCCO2)CC3=CC=CC=C3.Cl,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2868,860259,661563,CC1=C(C(=C(C(=N1)SCC(=O)NC2=CC=C(C=C2)OC)C#N)C3=CC=CO3)C(=O)OCCOC,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2869,860260,661564,CCN(CC)CCCN1C(C(=C(C1=O)O)C(=O)C2=CC=C(O2)C)C3=CC=C(O3)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2870,860263,135513617,C/C(=N\O)/C(=N/O)/CN(C)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2871,860265,661569,CCCC1CC2=C(CO1)SC3=NC(=NC(=C23)N)SC,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2872,860266,661570,CC1(CC2=C(CO1)C(=NC(=C2C#N)SCC3=NC4=CC=CC=C4N3)N5CCOCC5)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2873,860267,661571,COC1=CC=CC(=C1O)CNC2=NC=C(C=C2)Br,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2874,860268,661572,CC1=CC(=NC2=C1C(=C(O2)C(=O)C3=CC=C(C=C3)OC)N)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2875,860269,661573,C1CCN(CC1)C(=O)NC2CCS(=O)(=O)C2,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2876,860271,661575,C1=CC=C(C=C1)CNC(=O)C2=CC3=C(N=C4C=CC=CN4C3=O)N(C2=N)CC5=CC=CO5,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2877,860272,661576,CCN(CC)C(=O)CSC1=C(C(C(=C(N1)C)C(=O)OCC=C)C2=CC=CC=C2)C#N,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2878,860274,54693834,CC1CCC2=C3N1C(=O)C(=C(C3=CC(=C2)F)O)C(=O)NCC4=CC=CO4,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2879,860275,661579,CC1=NC(=NC2=CC=CC=C12)NC3=NC=C4C(=N3)CC(CC4=O)(C)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2880,860276,5389333,CCN(CC)CCN1C(/C(=C(/C2=CC=C(C=C2)C)\O)/C(=O)C1=O)C3=CN=CC=C3,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2881,860278,661582,CC1=CC(=C(O1)CSC2=NC=NN2)C(=O)O,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2882,860279,6879832,CN(CCCCCC(=O)/C=N/O)CC1=CC=CC=C1,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2883,860280,661583,CC1=C(SC(=C1C(=O)OC)N2C=NN=N2)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2884,860281,661584,CCOC(=O)C1=C(C2=CC=CC=C2N1)NC(=O)CCN3CCN(CC3)C(=O)OCC,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2885,860282,6862610,C1COCCN1CCCNC(=O)/C=N/O,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2886,860283,661585,C1CN(CCN1C=O)C(=O)CN2C(=O)C3=CC=CC=C3C2=O,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2887,860284,661586,COC1=CC2=C(C=C1)N(C(=N2)N)CC3=CC=CC=C3,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2888,860285,661587,CC(C)C1CC(CCO1)(CC(=O)N2CCOCC2)C3=CC=CC=C3OC,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2889,860286,661588,CCC1CC2(NC(=O)C3=C(N2C1=O)SC4=C3CC(OC4)(C)C)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2890,860287,661589,CC(C)OC(=O)C1=C(C2=CC3=C(CCCC3=O)N=C2S1)N,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2891,860289,661591,CC1=C(SC(=S)N1C)NC(=O)NC(=O)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2892,860290,661592,CN1CCN(CC1)C2=NC(=CC(=N2)C(=O)N)C3=CC=CC=C3,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2893,860291,1862881,COC(=O)/C=C/1\C(=O)N(/C(=C(\C#N)/C(=O)N2CCCCC2)/S1)C3=CC=CC=C3,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2894,860292,661594,C1CCC2=C(C1)C3=C(N=C2N4CCOCC4)SC(=C3N)C(=O)NCC5=CC=CO5,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2895,860293,661595,CCOC(=O)C1=CN=C(N=C1N)SC2CC(=O)N(C2=O)C3=CC(=CC=C3)OC,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2896,860294,661596,COC1=CC=CC(=C1)C2=CC(N3C(=NN=N3)N2)C4=CC=CC=C4,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2897,860295,661597,CC1=C([C@@]2(C3=CC=CC=C3N(C2=O)CC(=O)N)C(=C(O1)N)C#N)C(=O)OC(C)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2898,860296,135413841,CC1(CC2=C(CS1)C(=NC3=C2C4=C(S3)C(=O)NC=N4)N5CCOCC5)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2899,860298,9614330,C/C(=N\O)/C(=O)NCCCNCCCN(C)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2900,860299,661600,CC1CN(CC(O1)C)CC(=O)C2=C(NC3=C2C=C(C=C3)OC)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2901,860300,661601,CCC(=O)NC1=C(C=CC(=C1)C2=NN(C(=O)C3=CC=CC=C32)C)N4CCCCC4,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2902,860301,661602,COCCCN1C=NC2=C(C1=O)C3=NC4=CC=CC=C4N=C3N2CCC5=CC=CC=C5,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2903,860302,661603,CC1=C(C=NN1C)C2C3=C(CC(CC3=O)(C)C)NC4=CC=CC=C4N2,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2904,860303,661604,CN1C=C(N=C1C(C2=CC=CC=C2)O)Cl,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2905,860304,661605,CC(C)CC1=NC(=C(C2=C1CCC2)C#N)N3CCCCC3,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2906,860305,7005958,CCOC(=O)/C(=C/1\N(C(=O)/C(=C/C(=O)OC)/S1)C2=CC=CC=C2)/C#N,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2907,860306,661607,CC(C)CC(=O)NC1=CC=CC=C1N2CCCC2,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2908,860307,661608,CCOC(=O)C1CCN(CC1)C2=NC3=CC=CC=C3N=C2C(C#N)C(=O)OCCOC,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2909,860308,1856740,CN(C)/C=C\1/C(=O)OC(=N1)/C=C/C2=CC=C(C=C2)OC,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2910,860309,661610,CCCCNC(=O)C(C#N)C1=NC2=CC=CC=C2N=C1N3CCN(CC3)C4=CC=CC=C4F,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2911,860310,661611,COC1=CC=C(C=C1)C2=CC3=C(S2)C(=O)N4CCOCC4=N3,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2912,860311,661612,CCOC(=O)CNS(=O)(=O)C1=C(C=CC(=C1)C2=NN(C(=O)C3=CC=CC=C32)C)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2913,860312,661613,CC1=NN=C(S1)SCC(=O)N2CCC(CC2)C(=O)N,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2914,860313,6868821,CC(C)(C)NC(=O)/C=N/O,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2915,860315,661615,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)NCC4CCCO4,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2916,860316,661616,COC(=O)C1=CC=CC=C1NC=C2C(=O)OC3(CCCCC3)OC2=O,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2917,860317,661617,CC1=CC(=NC2=C1C(=C(O2)C(=O)C3=CC=CC=C3)N)C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2918,860318,6878823,CN(CCCNC(=O)/C=N/O)CC=C,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2919,860319,661618,CC1=CC=C(C=C1)NC(=O)CSC2=C(C(C3=C(N2)CCCC3=O)C4=CC=CO4)C#N,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2920,860321,5389335,CN(C)CCCN1C(/C(=C(\C2=CC(=C(C=C2)OC)OC)/O)/C(=O)C1=O)C3=CC=CC=C3,Inactive,0,inactive,>,0.00206,-2.686,Verified,
2921,860322,661621,C1COCCN1CCNC2=NC=NC3=C2NC4=C3C=C(C=C4)Cl,Inactive,0,inactive,>,0.00206,-2.686,Verified,
