PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,Activity Direction,Activity Qualifier,Qualified AC50,Log of AC50,Data Analysis QC,Log AC50 Std Error
25,4252748,3246091,C[C@@]12CCC(=O)C=C1CC[C@H]3[C@@H]2[C@H](C[C@@]4([C@@H]3CC[C@]4(C(=O)COC(=O)[C@H]5CCCN(C5)C)O)C)O,Active,69,increasing,=,1.35E-07,-6.869,Verified,0.18
26,11111729,6603981,C[C@@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@@]4([C@@H]3CC[C@@]4(C(=O)CO)O)C,Active,69,increasing,=,1.14E-07,-6.945,Verified,0.112
27,855586,31307,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@H]([C@@]2(C(=O)CO)O)O)CCC4=CC(=O)C=C[C@@]43C)F)O,Active,68,increasing,=,1.48E-07,-6.83,Verified,0.405
28,11110935,6603774,CC(=O)[C@]1(CC[C@H]2[C@]1(CC[C@H]3[C@H]2C=C(C4=CC(=O)[C@H]5C[C@@H]5[C@]34C)Cl)C)OC(=O)C,Active,68,increasing,=,1.47E-07,-6.833,Verified,0.067
29,11111272,6603871,CC(=O)[C@]1(CC[C@H]2[C@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@@]34C)C)O,Active,68,increasing,=,1.62E-07,-6.79,Verified,0.142
30,11112341,6604246,C[C@@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@@]4([C@@H]3CC[C@@]4(C#C)O)C,Active,68,increasing,=,1.55E-07,-6.81,Verified,0.168
31,11111903,6604026,C[C@@]12C[C@@H]([C@@]3([C@@H]([C@H]1C[C@H]([C@@]2(C(=O)CO)O)O)CCC4=CC(=O)C=C[C@@]43C)F)O,Active,67,increasing,=,2.23E-07,-6.652,Verified,0.119
32,11114101,84008,CCC(=O)N(C1CCN(CC1)CCC2=CC=C(C=C2)N=C=S)C3=CC=CC=C3,Active,66,increasing,=,2.46E-07,-6.609,Verified,0.19
33,11114105,6604872,C[C@@H](NCC1=C2C(=CC(=C1)Br)NC(=O)C(=O)N2)P(=O)(O)O,Active,66,increasing,=,2.64E-07,-6.579,Verified,0.164
34,855561,5284557,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C#C)O)C,Active,65,increasing,=,3.38E-07,-6.471,Verified,0.208
35,11111592,6603959,CC(=O)[C@@H]1CC[C@H]2[C@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@@]34C)C,Active,65,increasing,=,3.15E-07,-6.501,Verified,0.106
36,11110928,6603771,C[C@@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@@]4([C@@H]3CC[C@@]4(C(=O)CO)O)C,Active,64,increasing,=,4.31E-07,-6.366,Verified,0.173
37,11112137,6603959,CC(=O)[C@@H]1CC[C@H]2[C@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@@]34C)C,Active,63,increasing,=,5.51E-07,-6.259,Verified,0.301
38,855704,16623,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)COC(=O)CCC(=O)O)O)C)O,Active,62,increasing,=,5.99E-07,-6.222,Verified,0.161
39,855981,222786,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,Active,61,increasing,=,8.18E-07,-6.087,Verified,0.135
40,4253296,3246294,C[C@@]12CCC(=O)C=C1CC[C@H]3[C@H]2CC[C@]4([C@]3(CC[C@]4(C(=O)CO)O)O)C,Active,61,increasing,=,8.22E-07,-6.085,Verified,0.194
41,4253378,3246322,C[C@@]12CC[C@@H]3[C@@H]([C@@H]1CC[C@@H]2C(=O)COS(=O)(=O)C4=CC=C(C=C4)Br)CCC5=CC(=O)CC[C@@]35C,Active,61,increasing,=,7.93E-07,-6.101,Verified,0.07
42,11112117,6604185,C[C@@]12CC(=O)[C@H]3[C@H]([C@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@@]34C,Active,60,increasing,=,9.29E-07,-6.032,Verified,0.044
43,11114102,6603856,COC(=O)N1CCN([C@@H](C1)CN2CCCC2)C(=O)CC3=CC(=C(C=C3)Cl)Cl,Active,59,increasing,=,1.28E-06,-5.894,Verified,0.296
